KUPKBPK-KB-0067,BPK Digugat Kemelut Divestasi Newmont,BPK RI,,BPK RI,Kantor Pusat BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0068,BPK Digugat Kemelut Divestasi Newmont,BPK RI,,BPK RI,Kantor Pusat BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0069,BPK Digugat Kemelut Divestasi Newmont,BPK RI,,BPK RI,Kantor Pusat BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0070,BPK Digugat Kemelut Divestasi Newmont,BPK RI,,BPK RI,Kantor Pusat BPK,Jakarta,2016,,336,Keuangan Negara,336 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0071,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,BPK RI,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0072,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0073,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,336,Keuangan Negara,336 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0074,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0075,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0076,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0077,BPK DIGUGAT : PRO KONTRA AUDIT BUMN,,,BPK RI,BPK RI,Jakarta,2016,,657,Keuangan Negara,657 BPK b,Hibah,Koleksi Khusus,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0078,Twilight,Stephenie,Meyer,"Meyer, Stephenie",Gramedia, Jakarta,2009,,823,Fiksi,823 MEY t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0079,New Moon,Stephenie,Meyer,"Meyer, Stephenie",Gramedia Pustaka Utama,Jakarta,2009,,823,Fiksi,823 MEY n,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0080,Eclipse : Gerhana,Stephenie,Meyer,"Meyer, Stephenie",Gramedia Pustaka Utama, Jakarta,2009,,823,Fiksi,823 MEY e,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0081,Breaking Dawn : Awal Yang Baru,Stephenie,Meyer,"Meyer, Stephenie",Gramedia, Jakarta,2009,,823,Fiksi,823 MEY b,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0083,Jejak-jejak Makna,Gede,Prama,"Prama, Gede",Gramedia Pustaka Utama,Jakarta,2004,,813,Fiksi,813 PRA j,Beli,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0084,Jangan Pernah Menyerah,Aldilla,Dharma,"Dharma, Aldilla",Qultum Media,Jakarta,2017,9789790173736,297,Islam,297 DHA j,Beli,Agama dan Bahasa,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0085,Terima Kasih Ayah,Irfan,,Irfan,Wahyu Qolbu,Jakarta,2014,,813,Fiksi,813 IRF t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0086,Terima kasih ibu,Seno Teguh,Pribadi,"Pribadi, Seno Teguh",Wahyu Media, Jakarta,2013,,813,Fiksi,813 PRI t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0087,I Have a Dream,Arif Rahman,Lubis,"Lubis, Arif Rahman",Qultum Media,Jakarta,2017,,813,Fiksi,813 LUB i,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0088,Totto-chan,Tetsuko,Kuroyanagi,"Kuroyanagi, Tetsuko",Gramedia, Jakarta,2013,,823,Fiksi,823 KUR t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0089,Rencana Paling Sempurna,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2003,,823,Fiksi,823 SHE r,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0090,Kenangan Kematian,Agatha,Christie,"Christie, Agatha",Gramedia Pustaka Utama,Jakarta,2002,,823,Fiksi,823 CHR k,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0091,Wajah Sang Pembunuh,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2009,,823,Fiksi,823 SHE w,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0092,Padang Bayang Kelabu,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2009,,823,Fiksi,823 SHE p,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0093,Tiada yang Abadi,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2007,,823,Fiksi,823 SHE t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0094,Ceritakan Mimpi-Mimpimu,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2005,,823,Fiksi,823 SHE c,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0095,"Pagi, Siang, dan Malam",Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2004,,823,Fiksi,823 SHE p,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0096,"Pagi, Siang, dan Malam",Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2004,,823,Fiksi,823 SHE p,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0097,Langit Runtuh,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2001,,823,Fiksi,823 SHE l,,,,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0098,Malaikat Keadilan,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,1994,,823,Fiksi,823 SHE m,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0099,Sosok Asing Dalam Cermin,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2007,,823,Fiksi,823 SHE s,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0100,Rage of Angels,Sidney,Sheldon,"Sheldon, Sidney",Warner Books,New York,1983,,823,Fiksi,823 SHE r,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0101,Ratu Berlian,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,1983,,823,Fiksi,823 SHE r,,Novel,V,,#REF!,,,,,,,,,,,,
